번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
4892,동물병원,02_03_01_P,3110000,,2000-03-28,,1,영업/정상,0,정상,,,,,386-6092,0,,서울특별시 은평구 갈현동 498-3번지,서울특별시 은평구 서오릉로 192 (갈현동),3335,미래동물병원,2020-05-27 11:17,U,2020-05-29 2:40,,192190.2663,456830.5284,동물병원,,0,
4893,동물병원,02_03_01_P,3110000,,2001-07-02,,1,영업/정상,0,정상,,,,,382-3243,0,,서울특별시 은평구 대조동 224-24번지,서울특별시 은평구 서오릉로 140 (대조동),3394,더독동물병원,2011-12-28 10:49,I,2018-08-31 23:59,,192656.3021,456562.1634,동물병원,,0,
4894,동물병원,02_03_01_P,3030000,,2003-01-24,,1,영업/정상,0,정상,,,,,02-2297-7582,117.54,,서울특별시 성동구 행당동 322-100번지,서울특별시 성동구 행당로8길 41-2 (행당동),,오렌지동물병원,2019-03-06 18:23,U,2019-03-08 2:40,,202931.7899,450419.387,동물병원,,0,
4895,동물병원,02_03_01_P,3010000,,2011-03-30,,1,영업/정상,0,정상,,,,,2256-7582,46.2,,서울특별시 중구 신당동 373-64번지,서울특별시 중구 동호로 178 (신당동),4590,웰펫동물병원,2019-03-06 15:54,U,2019-03-08 2:40,,200945.2656,450226.8255,동물병원,,0,0
4896,동물병원,02_03_01_P,3210000,,1997-01-17,,1,영업/정상,0,정상,,,,,02-582-2186,0,,서울특별시 서초구 방배동 809-1,서울특별시 서초구 방배로34길 12 (방배동),6585,남서울동물병원,2020-11-19 17:52,U,2020-11-21 2:40,,199192.1512,443359.706,동물병원,,0,
4897,동물병원,02_03_01_P,3210000,,1998-01-12,,1,영업/정상,0,정상,,,,,582-2357,0,,서울특별시 서초구 서초동 1603-66,서울특별시 서초구 효령로57길 4 (서초동),6643,서초동물병원,2021-09-03 13:55,U,2021-09-05 2:40,,201437.4779,442585.4812,동물병원,,0,0
4898,동물병원,02_03_01_P,3210000,,2013-08-20,,1,영업/정상,0,정상,,,,,522-0222,0,,서울특별시 서초구 서초동 1534-2번지 명성빌딩,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",6671,아델 동물병원,2019-01-14 13:32,U,2019-01-16 2:40,,200886.0325,442481.6826,동물병원,,0,
4899,동물병원,02_03_01_P,3210000,,2013-09-09,,1,영업/정상,0,정상,,,,,581-5500,0,,서울특별시 서초구 방배동 894-2 선빌딩 101호,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",6661,동물제중원금손이 동물병원,2021-04-08 10:22,U,2021-04-10 2:40,,199582.595,442879.1893,동물병원,,0,
4900,동물병원,02_03_01_P,3210000,,2005-12-30,,1,영업/정상,0,정상,,,,,02-585-0087,175,,서울특별시 서초구 서초동 1486-2 삼양빌딩,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",6709,다니엘동물병원,2020-10-21 11:18,U,2020-10-23 2:40,,200612.4018,442325.9223,동물병원,,0,
4901,동물병원,02_03_01_P,3140000,,1990-01-30,,1,영업/정상,0,정상,,,,,2693-8883,1,,서울특별시 양천구 신월동 501-12,서울특별시 양천구 중앙로 295 (신월동),8028,우신동물병원,2023-06-08 9:22,U,2023-06-10 2:40,,186794.8421,446714.2758,동물병원,,0,0
4902,동물병원,02_03_01_P,3140000,,1990-02-23,,1,영업/정상,0,정상,,,,,2642-9159,1,,서울특별시 양천구 목동 657-16,서울특별시 양천구 등촌로 160 (목동),7951,강현림 종합동물병원,2020-11-10 20:33,U,2020-11-12 2:40,,187774.0762,449099.4068,동물병원,,0,
4903,동물병원,02_03_01_P,3140000,,1994-03-18,,1,영업/정상,0,정상,,,,,02-2651-9953,1,,서울특별시 양천구 신정동 1020-17,서울특별시 양천구 은행정로 10 (신정동),8087,해성동물병원,2022-05-02 11:40,U,2022-05-04 2:40,,187566.1085,446497.5845,동물병원,,0,0
4904,동물병원,02_03_01_P,3210000,,2009-10-23,,1,영업/정상,0,정상,,,,,02-3476-7522,0,,서울특별시 서초구 반포동 18-3 래미안퍼스티지 중심상가 147-8호,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",6547,두리종합동물병원,2021-06-09 9:02,U,2021-06-11 2:40,,200005.6264,444680.5217,동물병원,,0,
4905,동물병원,02_03_01_P,3210000,,2010-04-02,,1,영업/정상,0,정상,,,,,25219010,163.01,,서울특별시 서초구 방배동 925-8번지,"서울특별시 서초구 방배로 119, 1층 (방배동)",6682,디아나동물병원,2019-01-11 15:46,U,2019-01-13 2:40,,199509.9016,442495.9495,동물병원,,0,
4906,동물병원,02_03_01_P,3210000,,2004-04-14,,1,영업/정상,0,정상,,,,,02-533-5505,26.6,,서울특별시 서초구 잠원동 50-5 신사쇼핑센터 102-2호,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",6515,이상록동물병원,2020-11-19 18:21,U,2020-11-21 2:40,,201230.6934,445992.4593,동물병원,,0,
4907,동물병원,02_03_01_P,3140000,,2008-07-23,,1,영업/정상,0,정상,,,,,2690-5673,44.55,,서울특별시 양천구 신월동 446-4번지,서울특별시 양천구 월정로 46 (신월동),7936,햇살동물병원,2019-01-16 18:26,U,2019-01-18 2:40,,185992.295,446855.11,동물병원,,0,
4908,동물병원,02_03_01_P,3030000,,2016-03-24,,1,영업/정상,0,정상,,,,,02-468-7582,51.6,,서울특별시 성동구 성수동2가 339-23번지,서울특별시 성동구 뚝섬로 395 (성수동2가),4781,제인동물병원,2019-03-06 18:26,U,2019-03-08 2:40,,204763.8077,448534.1138,동물병원,,0,
4909,동물병원,02_03_01_P,3110000,,2012-02-13,,1,영업/정상,0,정상,,,,,02-359-2020,0,,서울특별시 은평구 대조동 187-24,서울특별시 은평구 통일로 817 (대조동),3385,Dr.윤24시동물병원,2023-04-20 17:01,U,2023-04-23 2:40,,193147.6394,457137.1552,동물병원,,0,0
4910,동물병원,02_03_01_P,3030000,,2004-08-19,,1,영업/정상,0,정상,,,,,02-2233-1848,65.12,,서울특별시 성동구 금호동2가 485-1,서울특별시 성동구 금호산길 58(금호동2가),4726,한빛동물병원,2021-07-01 16:04,U,2021-07-03 2:40,,201657.9263,450119.5081,동물병원,,0,
4911,동물병원,02_03_01_P,3030000,,2006-10-23,,1,영업/정상,0,정상,,,,,02-6085-7750,23.95,,서울특별시 성동구 금호동4가 1108번지 지상1층,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",,아지동물병원,2019-06-27 17:15,U,2019-06-29 2:40,,201790.1175,449530.7077,동물병원,,0,
4912,동물병원,02_03_01_P,3030000,,2007-07-25,,1,영업/정상,0,정상,,,,,02-3395-7975,240,,서울특별시 성동구 행당동 318-36,서울특별시 성동구 고산자로 207 (행당동),4714,24시센트럴동물메디컬센터,2024-02-02 11:11,U,2024-02-04 2:40,,202907.2189,450712.0867,동물병원,,0,0
4913,동물병원,02_03_01_P,3140000,,2007-03-27,,1,영업/정상,0,정상,,,,,02-2652-5475,40,,서울특별시 양천구 신정동 117-35 신정동빌딩,"서울특별시 양천구 신목로 80, 신정동빌딩 (신정동)",8009,리더스 동물병원,2024-02-29 13:49,U,2024-03-02 2:40,,188828.5448,446633.6155,동물병원,,0,0
4914,동물병원,02_03_01_P,3030000,,2016-02-25,,1,영업/정상,0,정상,,,,,02-6402-0301,28.78,,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",4733,오석헌동물병원,2016-09-19 9:45,I,2018-08-31 23:59,,201153.9816,449188.9705,동물병원,,0,
4915,동물병원,02_03_01_P,3110000,,2012-06-21,,1,영업/정상,0,정상,,,,,385-8275,0,,서울특별시 은평구 진관동 20번지 상림마을 821동 101호,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",3302,뉴타운동물병원,2019-03-06 10:42,U,2019-03-08 2:40,,193103.4271,459986.856,동물병원,,0,
4916,동물병원,02_03_01_P,3110000,,2013-02-25,,1,영업/정상,0,정상,,,,,02-387-7582,0,,서울특별시 은평구 응암동 91-5,서울특별시 은평구 은평로 93 (응암동),3461,24시스마트동물메디컬센터,2024-02-08 16:56,U,2024-02-11 2:40,,192700.3776,455276.7291,동물병원,,0,0
4917,동물병원,02_03_01_P,3210000,,1995-07-01,,1,영업/정상,0,정상,,,,,593-1045,0,,서울특별시 서초구 잠원동 8-24 크레신타워 1층,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",6524,유림동물안과병원,2024-01-19 13:33,U,2024-01-21 2:40,,201565.9572,446206.3549,동물병원,,0,0
4918,동물병원,02_03_01_P,3060000,,2003-05-28,,1,영업/정상,0,정상,,,,,2094-8344,0,,서울특별시 중랑구 상봉동 137-7,서울특별시 중랑구 중랑천로 71 (상봉동),,서울우유협동조합유우진료소,2023-11-15 14:31,U,2023-11-18 2:40,,206321.9193,454381.7629,동물병원,,L00,0
4919,동물병원,02_03_01_P,3030000,,2015-10-01,,1,영업/정상,0,정상,,,,,2282-3653,128.09,,서울특별시 성동구 금호동4가 1338번지 10통4반 현대ESA아파트 910호,서울특별시 성동구 독서당로 328 (금호동4가),4737,펫365동물병원,2019-06-14 16:41,U,2019-06-16 2:40,,202164.8202,449516.5209,동물병원,,0,
4920,동물병원,02_03_01_P,3140000,,1999-06-25,,1,영업/정상,0,정상,,,,,2695-1231,0,,서울특별시 양천구 신월동 50-5번지,서울특별시 양천구 남부순환로 347 (신월동),7905,민병철동물병원,2018-02-09 10:15,I,2018-08-31 23:59,,184767.7296,448229.827,동물병원,,0,
4921,동물병원,02_03_01_P,3030000,,2012-02-06,,1,영업/정상,0,정상,,,,,02-466-2475,73.6,,서울특별시 성동구 성수동2가 333-3번지 1층,서울특별시 성동구 뚝섬로 386 (성수동2가),4775,서울숲동물병원,2019-03-06 18:19,U,2019-03-08 2:40,,204634.7165,448539.5052,동물병원,,0,
4922,동물병원,02_03_01_P,3030000,,2012-10-31,,1,영업/정상,0,정상,,,,,02-2291-7582,292.87,,서울특별시 성동구 옥수동 560 어울림상가 301~4호,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",4739,옥수수 동물병원,2022-06-03 10:46,U,2022-06-05 2:40,,201538.0561,448894.7552,동물병원,,0,0
4923,동물병원,02_03_01_P,3140000,,2009-07-03,,1,영업/정상,0,정상,,,,,2645-2727,40,,서울특별시 양천구 목동 962 목동트라팰리스,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)",8001,쿨펫이마트 목동점 동물병원,2021-06-09 14:15,U,2021-06-11 2:40,,188472.7592,447091.856,동물병원,,0,
4924,동물병원,02_03_01_P,3110000,,2016-03-18,,1,영업/정상,0,정상,,,,,02-354-7544,120,,서울특별시 은평구 불광동 104-94번지,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",3343,둘레길동물병원,2019-03-06 10:50,U,2019-03-08 2:40,,193547.6806,457936.9948,동물병원,,0,
4925,동물병원,02_03_01_P,3110000,,2016-10-25,,1,영업/정상,0,정상,,,,,02-352-7275,102.71,,서울특별시 은평구 대조동 14-27 2층,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",3397,개와냥이동물병원,2023-04-21 14:25,U,2023-04-23 2:40,,193680.5647,456432.9936,동물병원,,0,0
4926,동물병원,02_03_01_P,3110000,,2016-12-27,,1,영업/정상,0,정상,,,,,02-3152-0075,0,,서울특별시 은평구 응암동 244-212번지,서울특별시 은평구 백련산로 29 (응암동),3470,참좋은동물병원,2019-03-06 11:06,U,2019-03-08 2:40,,193081.8522,453992.5637,동물병원,,0,
4927,동물병원,02_03_01_P,3110000,,2004-06-08,,1,영업/정상,0,정상,,,,,02-384-0075,878.89,,서울특별시 은평구 갈현동 394-27,서울특별시 은평구 통일로 885 (갈현동),3329,메디펫동물병원,2024-01-03 9:01,U,2024-01-06 2:40,,192825.7957,457740.6732,동물병원,,0,0
4928,동물병원,02_03_01_P,3010000,,1990-09-25,,1,영업/정상,0,정상,,,,,2274-8558,0,,서울특별시 중구 필동2가 53,서울특별시 중구 퇴계로 226 (필동2가),4624,윤신근박사동물병원,2022-07-05 16:43,U,2022-07-07 2:40,,199652.5966,451038.8914,동물병원,,0,0
4929,동물병원,02_03_01_P,3140000,,1995-06-15,,1,영업/정상,0,정상,,,,,226546183,62.4,,서울특별시 양천구 신정동 294-62번지,서울특별시 양천구 목동동로10길 6 (신정동),8014,노아동물병원,2018-10-15 17:28,U,2018-10-15 23:59,,188498.8896,446254.4703,동물병원,,0,
4930,동물병원,02_03_01_P,3140000,,1997-03-20,,1,영업/정상,0,정상,,,,,2607-0022,128.3,,서울특별시 양천구 신월동 444-11,서울특별시 양천구 오목로 45 (신월동),7930,양천종합동물병원,2024-01-23 9:03,U,2024-01-25 2:40,,186019.5568,446684.7216,동물병원,,0,0
4931,동물병원,02_03_01_P,3110000,,2005-08-16,,1,영업/정상,0,정상,,,,,306-8575,0,,서울특별시 은평구 증산동 174-6 103호,"서울특별시 은평구 증산로 267, 103호 (증산동)",3500,한수24시동물병원,2023-04-21 14:26,U,2023-04-23 2:40,,191719.6419,453281.9651,동물병원,,0,0
4932,동물병원,02_03_01_P,3110000,,2006-01-26,,1,영업/정상,0,정상,,,,,354-0975,4717.94,,서울특별시 은평구 구산동 1-1번지,서울특별시 은평구 연서로 137 (구산동),3412,로얄동물병원,2020-06-05 17:47,U,2020-06-07 2:40,,192584.6394,456538.9227,동물병원,,0,
4933,동물병원,02_03_01_P,3210000,,2006-02-21,,1,영업/정상,0,정상,,,,,596-1175,74,,서울특별시 서초구 서초동 1690-2번지 지상1층,"서울특별시 서초구 서초대로 325 (서초동,지상1층)",,교대동물병원,2019-01-11 14:59,U,2019-01-13 2:40,,201436.6463,443641.2975,동물병원,,0,
4934,동물병원,02_03_01_P,3140000,,2002-05-03,,1,영업/정상,0,정상,,,,,2649-0774,0,,서울특별시 양천구 목동 805-1,서울특별시 양천구 등촌로 16 (목동),7966,필동물종합병원,2021-07-14 15:03,U,2021-07-16 2:40,,187920.9605,447697.3416,동물병원,,0,0
4935,동물병원,02_03_01_P,3210000,,2011-12-08,,1,영업/정상,0,정상,,,,,02-3476-3535,32.32,,서울특별시 서초구 반포동 20-51 베리스타운102/108호,서울특별시 서초구 사평대로45길 10-25 (반포동),6544,반포자이동물병원,2021-09-03 13:56,U,2021-09-05 2:40,,201162.735,444940.18,동물병원,,0,0
4936,동물병원,02_03_01_P,3210000,,2012-03-19,,1,영업/정상,0,정상,,,,,02-574-0511,38.38,,서울특별시 서초구 신원동 412-5번지 힐스테이트서초잰트리스 103호,"서울특별시 서초구 헌릉로8길 10-12, 1층 3호 (신원동, 힐스테이트서초잰트리스)",6798,하나동물병원,2019-01-14 13:25,U,2019-01-16 2:40,,204997.1628,439329.1695,동물병원,,0,
4937,동물병원,02_03_01_P,3140000,,2009-12-17,,1,영업/정상,0,정상,,,,,2645-7588,79.8,,서울특별시 양천구 목동 907번지 현대월드타워 160호,"서울특별시 양천구 목동서로 77, 현대월드타워 160호 (목동)",7983,가나종합동물병원,2019-12-18 17:36,U,2019-12-20 2:40,,189151.208,448200.0677,동물병원,,0,
4938,동물병원,02_03_01_P,3140000,,2011-05-02,,1,영업/정상,0,정상,,,,,2643-0283,62,,서울특별시 양천구 목동 919-7 홈플러스목동점,"서울특별시 양천구 목동서로 170, 홈플러스목동점 (목동)",7992,닥터펫동물병원,2020-11-10 20:34,U,2020-11-12 2:40,,188729.1905,447572.61,동물병원,,0,
4939,동물병원,02_03_01_P,3030000,,2017-01-19,,1,영업/정상,0,정상,,,,,02-2297-9300,35,,,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)",4701,바라봄동물병원,2019-03-06 18:18,U,2019-03-08 2:40,,202372.912,451536.6809,동물병원,,0,
4940,동물병원,02_03_01_P,3110000,,2017-03-08,,1,영업/정상,0,정상,,,,,02-356-9475,0,,"서울특별시 은평구 불광동 643 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호","서울특별시 은평구 통일로 796, 상가동 지하2층 128호, 지하1층 228호 (불광동, 북한산 힐스테이트7차)",3357,담은동물병원,2021-08-25 14:30,U,2021-08-27 2:40,,193457.6985,457135.2177,동물병원,,0,0
4941,동물병원,02_03_01_P,3140000,,2003-04-22,,1,영업/정상,0,정상,,,,,2697-7576,76.3,,서울특별시 양천구 신정동 987-3 1층,"서울특별시 양천구 오목로 198-1 (신정동,1층)",,신정 동물병원,2020-11-10 20:35,U,2020-11-12 2:40,,187507.5025,447012.9668,동물병원,,0,
4942,동물병원,02_03_01_P,3140000,,2003-04-24,,1,영업/정상,0,정상,,,,,2642-8653,52.5,,서울특별시 양천구 목동 657-21번지 등촌빌딩,"서울특별시 양천구 등촌로 172, 등촌빌딩 A동 102호 (목동)",7951,토론토 동물병원,2019-01-16 18:14,U,2019-01-18 2:40,,187788.8226,449204.6352,동물병원,,0,
4943,동물병원,02_03_01_P,3030000,,2018-07-06,,1,영업/정상,0,정상,,,,,02-466-8215,51,,서울특별시 성동구 성수동1가 718번지 트리마제,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",4773,달링동물병원,2019-04-25 11:22,U,2019-04-27 2:40,,203911.5131,448508.756,동물병원,,0,
4944,동물병원,02_03_01_P,3010000,,2016-02-11,,1,영업/정상,0,정상,,,,,02-2232-7975,67.91,,서울특별시 중구 황학동 2523 황학 아크로타워,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)",4575,바른동물병원,2020-07-16 16:35,U,2020-07-18 2:40,,201866.0395,451543.3378,동물병원,,0,0
4945,동물병원,02_03_01_P,3110000,,1999-05-08,,1,영업/정상,0,정상,,,,,02-306-0158,105.84,,서울특별시 은평구 응암동 589-12번지 2층,"서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)",3484,오거리동물병원,2017-12-08 9:33,I,2018-08-31 23:59,,192509.1149,454279.7008,동물병원,,0,
4946,동물병원,02_03_01_P,3110000,,2000-03-21,,1,영업/정상,0,정상,,,,,382-7582,165.62,,서울특별시 은평구 응암동 74-14번지,서울특별시 은평구 은평로 208 (응암동),3472,LOVE MY PET 동물병원,2019-03-06 10:30,U,2019-03-08 2:40,,193814.0712,455415.9791,동물병원,,0,
4947,동물병원,02_03_01_P,3210000,,2013-02-28,,1,영업/정상,0,정상,,,,,577-6125,80,,서울특별시 서초구 양재동 215번지 이마트 양재점 지하1층,"서울특별시 서초구 매헌로 16, 지하1층 (양재동, 이마트 양재점)",6771,이리온 양재점,2019-01-14 13:28,U,2019-01-16 2:40,,203204.7556,440136.7812,동물병원,,0,
4948,동물병원,02_03_01_P,3210000,,2013-03-07,,1,영업/정상,0,정상,,,,,592-0202,57.92,,서울특별시 서초구 반포동 1341,"서울특별시 서초구 서초중앙로 224, 129호 (반포동)",6599,꿈꾸는 동물병원,2023-02-07 13:01,U,2023-02-09 2:40,,201100.601,444376.5329,동물병원,,0,0
4949,동물병원,02_03_01_P,3210000,,2013-03-27,,1,영업/정상,0,정상,,,,,2058-1882,113.64,,서울특별시 서초구 양재동 4-14,서울특별시 서초구 바우뫼로 211 (양재동),6740,에이블 동물병원,2022-05-09 17:55,U,2022-05-11 2:40,,203615.7106,442081.7738,동물병원,,0,0
4950,동물병원,02_03_01_P,3030000,,2016-11-22,,1,영업/정상,0,정상,,,,,02-468-7975,17.5,,서울특별시 성동구 성수동1가 22-28번지 1층,"서울특별시 성동구 성수일로 33, 1층 (성수동1가, 정인숙보습학원)",4779,포레동물병원,2019-03-06 18:29,U,2019-03-08 2:40,,204278.3649,449042.484,동물병원,,0,
4951,동물병원,02_03_01_P,3210000,,1999-03-06,,1,영업/정상,0,정상,,,,,3472-8275,30.96,,서울특별시 서초구 서초동 1332-7,"서울특별시 서초구 사임당로 139, 104호 (서초동)",6624,서이동물병원,2021-11-04 13:24,U,2021-11-06 2:40,,202128.627,443285.6812,동물병원,,0,0
4952,동물병원,02_03_01_P,3210000,,2004-03-08,,1,영업/정상,0,정상,,,,,02-578-7572,21.7,,서울특별시 서초구 우면동 66-2 우면세신상가 201호,"서울특별시 서초구 바우뫼로7길 8, 201호 (우면동,우면세신상가)",,우면동물병원,2021-09-03 13:56,U,2021-09-05 2:40,,202175.0111,440963.7591,동물병원,,0,0
4953,동물병원,02_03_01_P,3030000,,2014-02-27,,1,영업/정상,0,정상,,,,,02-2297-0075,55.39,,서울특별시 성동구 하왕십리동 892-4,서울특별시 성동구 왕십리로 381 (하왕십리동),4710,왕십리조은동물병원,2023-05-15 10:31,U,2023-05-17 2:40,,202393.4573,451365.3262,동물병원,,0,0
4954,동물병원,02_03_01_P,3140000,,2017-03-09,,1,영업/정상,0,정상,,,,,2642-1239,44.8,,"서울특별시 양천구 신정동 329 목동신시가지아파트14단지 B상가 117,호","서울특별시 양천구 목동동로 130, 117, 118호 (신정동, 목동신시가지아파트14단지)",8018,페토브 동물병원,2021-06-02 10:04,U,2021-06-04 2:40,,188467.2154,446003.9412,동물병원,,0,
4955,동물병원,02_03_01_P,3140000,,2017-04-10,,1,영업/정상,0,정상,,,,,02-2601-8875,168.5,,서울특별시 양천구 신정동 1182-11,"서울특별시 양천구 중앙로 237, 1층 (신정동)",8073,24시 서울 탑 동물병원,2023-10-30 16:53,U,2023-11-01 2:40,,186990.0704,446176.8104,동물병원,,0,0
4956,동물병원,02_03_01_P,3210000,,2003-01-13,,1,영업/정상,0,정상,,,,,534-9773,0,,서울특별시 서초구 방배동 790-27번지,서울특별시 서초구 방배중앙로 149 (방배동),6560,수동물병원,2019-01-11 14:36,U,2019-01-13 2:40,,198732.246,443365.9223,동물병원,,0,
4957,동물병원,02_03_01_P,3210000,,2003-02-04,,1,영업/정상,0,정상,,,,,3473-8274,188,,서울특별시 서초구 방배동 898-3,"서울특별시 서초구 서초대로 108, 2층 (방배동)",6664,내방동물병원,2024-04-04 10:49,U,2024-04-06 2:40,,199410.8814,442807.5884,동물병원,,0,0
4958,동물병원,02_03_01_P,3030000,,2016-12-19,,1,영업/정상,0,정상,,,,,02-2282-7501,43.8,,서울특별시 성동구 옥수동 528번지 이편한세상옥수파크힐스,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",4731,스테이동물병원,2019-04-25 11:21,U,2019-04-27 2:40,,201157.8773,449563.28,동물병원,,0,
4959,동물병원,02_03_01_P,3210000,,1999-05-04,,1,영업/정상,0,정상,,,,,02-537-0075,61.6,,서울특별시 서초구 반포동 56-1번지,서울특별시 서초구 서초중앙로 245 (반포동),,신반포종합동물병원,2019-01-11 14:10,U,2019-01-13 2:40,,200884.6246,444571.1061,동물병원,,0,
4960,동물병원,02_03_01_P,3140000,,2017-06-28,,1,영업/정상,0,정상,,,,,8464597,0,,서울특별시 양천구 목동 507-2 덕수프라자,"서울특별시 양천구 목동중앙북로 73, 덕수프라자 2층 (목동)",7947,두암동물병원,2023-04-07 9:21,U,2023-04-09 2:40,,188563.7467,449409.1436,동물병원,,0,0
4961,동물병원,02_03_01_P,3210000,,2011-10-07,,1,영업/정상,0,정상,,,,,534-3475,23.57,,서울특별시 서초구 반포동 20-45 반포자이프라자 133호,"서울특별시 서초구 잠원로 24 (반포동,반포자이프라자 133호)",,24시예스동물병원,2020-11-12 10:40,U,2020-11-17 2:40,,200800.417,444989.8743,동물병원,,0,
