개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,Latitude,Longitude,축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원,진료시간,위치정보,홈페이지
3090000,3.09E+17,2018-11-15,,1,영업/정상,0,정상,,,,,955-8400,0,,서울특별시 도봉구 도봉동 562-26,서울특별시 도봉구 도봉로 875 (도봉동),1304,도담동물병원,2023-03-16 13:38,U,08:00.0,,37.6826755,127.0455403,,,,,,,,
3220000,3.22E+17,2003-07-19,,1,영업/정상,0,정상,,,,,02-3412-0067,0,,서울특별시 강남구 일원동 684 남경빌딩 1층,"서울특별시 강남구 일원로 35, 남경빌딩 1층 (일원동)",6343,서경석동물병원,2023-03-17 13:36,U,09:00.0,,37.4906406,127.0812097,,,,,,"월
09:00 - 19:00
13:00 - 14:00 휴게시간
화
09:00 - 19:00
13:00 - 14:00 휴게시간
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목(6/6)
현충일 휴무
금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 17:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)",,
3110000,3.11E+17,2020-11-09,,1,영업/정상,0,정상,,,,,02-6956-7599,464.83,,서울특별시 은평구 불광동 276-32,서울특별시 은평구 불광로 59(불광동),3358,동물병원 움,2023-03-20 17:02,U,02:00.0,,37.6123503,126.9317118,,,,,,"매일
10:00 - 20:00
13:00 - 14:00 휴게시간",,
3140000,3.14E+17,2023-03-24,,1,영업/정상,0,정상,,,,,02-2650-8275,,,서울특별시 양천구 신정동 321-6 센트럴프라자 203호,"서울특별시 양천구 목동서로 349, 센트럴프라자 203호 (신정동)",8095,공원옆동물의료센터,2023-03-24 16:05,I,06:00.0,,37.5174938,126.8654977,,,,,,"월
10:00 - 19:30
13:00 - 14:00 휴게시간
화
10:00 - 19:30
13:00 - 14:00 휴게시간
수
10:00 - 19:30
13:00 - 14:00 휴게시간
목(6/6)
현충일 휴무
금
10:00 - 19:30
13:00 - 14:00 휴게시간
토
10:00 - 17:00
13:00 - 14:00 휴게시간
일
정기휴무 (매주 일요일)",,
3190000,3.19E+17,2018-01-03,,1,영업/정상,0,정상,,,,,02-3280-8275,108,,서울특별시 동작구 상도동 27-12 성은빌딩,"서울특별시 동작구 상도로 214, 성은빌딩 1층 (상도동)",6964,유케어종합동물병원,2024-04-03 15:06,U,05:00.0,,37.5000143,126.9286707,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3210000,3.21E+17,2016-07-25,,1,영업/정상,0,정상,,,,,02-525-3102,211.57,,"서울특별시 서초구 방배동 442-3 대광빌딩 1,2층","서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)",6691,VIP동물의료센터 서초동작점,2023-08-01 15:06,U,03:00.0,,37.4796737,126.9821564,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3060000,3.06E+17,1997-03-17,,1,영업/정상,0,정상,,,,,974-0339,95.4,,서울특별시 중랑구 묵동 239-76,"서울특별시 중랑구 동일로 899, 1층 (묵동)",2006,홍상희동물병원,2023-09-05 15:21,U,07:00.0,,37.6106647,127.0773901,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3000000,3.00E+17,2006-03-27,,1,영업/정상,0,정상,,,,,3917502,0,,서울특별시 종로구 홍지동 126-8,서울특별시 종로구 자하문로 305 (홍지동),,올리브동물병원,2024-04-26 10:03,U,08:00.0,,37.6007992,126.9565688,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3140000,3.14E+17,2014-12-03,,1,영업/정상,0,정상,,,,,2651-1855,54.45,,서울특별시 양천구 목동 531-13 101호,"서울특별시 양천구 목동중앙본로 100, 101호 (목동)",7973,대현동물병원,2023-03-24 11:03,U,06:00.0,,37.5444748,126.8708956,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3010000,3.01E+17,2019-08-01,,1,영업/정상,0,정상,,,,,02-6956-7502,0,,서울특별시 중구 을지로5가 133-1 뉴천지관광호텔,"서울특별시 중구 을지로38길 20, 뉴천지관광호텔 1층 (을지로5가)",4561,서울동물영상종양센터,2023-05-11 14:05,U,03:00.0,,37.5659043,127.0033344,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3170000,3.17E+17,2018-04-10,,1,영업/정상,0,정상,,,,,802-2811,227.32,,서울특별시 금천구 시흥동 904-6 서우빌딩,"서울특별시 금천구 시흥대로 172, 서우빌딩 (시흥동)",8631,더조은 동물의료센터,2023-06-12 9:16,U,04:00.0,,37.4494089,126.9030357,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3220000,3.22E+17,2023-09-26,,1,영업/정상,0,정상,,,,,02-545-8875,0,,서울특별시 강남구 청담동 125-14 RNF537,"서울특별시 강남구 도산대로 537, RNF537 3층 (청담동)",6013,청담 고운 피부과 동물병원,2023-09-26 19:24,I,09:00.0,,37.5251955,127.052372,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3090000,3.09E+17,2023-06-01,,1,영업/정상,0,정상,,,,,02-904-1004,,,서울특별시 도봉구 창동 715-1,"서울특별시 도봉구 도봉로 578, 2층 2호 (창동)",1426,24시 딜라이트 동물의료센터,2023-06-01 13:17,I,03:00.0,,37.6562308,127.0397648,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3090000,3.09E+17,2023-06-14,,1,영업/정상,0,정상,,,,,999-7582,,,서울특별시 도봉구 쌍문동 474-4,서울특별시 도봉구 우이천로 446-3 (쌍문동),1372,동물병원 비아츠,2023-06-14 11:17,I,06:00.0,,37.6504166,127.022043,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3140000,3.14E+17,2023-06-01,,1,영업/정상,0,정상,,,,,02)2062-7982,54,,서울특별시 양천구 목동 917-6 중소기업유통센터(행복한백화점),"서울특별시 양천구 목동동로 309, 중소기업유통센터(행복한백화점) 지하2층 (목동)",7997,펫사랑동물병원,2023-06-14 14:20,U,06:00.0,,37.5296144,126.8760112,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3050000,3.05E+17,2020-09-16,,1,영업/정상,0,정상,,,,,02-2217-8930,0,,서울특별시 동대문구 답십리동 52-3,"서울특별시 동대문구 전농로 80, 1층 (답십리동)",2606,아이원 동물병원,2023-06-26 16:28,U,08:00.0,,37.5719483,127.0575928,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3140000,3.14E+17,2018-10-24,,1,영업/정상,0,정상,,,,,02-2647-1772,259.64,,서울특별시 양천구 목동 783-2,서울특별시 양천구 등촌로 58 (목동),7965,하니동물병원,2023-02-10 9:24,U,02:00.0,,37.5351276,126.8637766,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3070000,3.07E+17,20221024,,1,영업/정상,0,정상,,,,,02-922-7555,82,,서울특별시 성북구 보문동7가 102 (주)참존글로벌워크,"서울특별시 성북구 보문로 51, (주)참존글로벌워크 1층 (보문동7가)",2873,포포동물병원,2022-10-24 9:44,I,06:00.0,,37.5799763,127.0219929,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3150000,3.15E+17,2023-05-30,,1,영업/정상,0,정상,,,,,02-2135-5611,0,,서울특별시 강서구 마곡동 800-5,"서울특별시 강서구 공항대로 228, 2층 201,202,203,211,212호 (마곡동)",7806,율동물의료센터,2023-06-05 17:43,U,08:00.0,,37.5586285,126.8327075,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3140000,3.14E+17,1990-01-30,,1,영업/정상,0,정상,,,,,2693-8883,1,,서울특별시 양천구 신월동 501-12,서울특별시 양천구 중앙로 295 (신월동),8028,우신동물병원,2023-06-08 9:22,U,00:00.0,,37.5225681,126.8514082,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3220000,3.22E+17,2023-06-22,,1,영업/정상,0,정상,,,,,02-540-7522,,,서울특별시 강남구 신사동 627-21 3층,"서울특별시 강남구 언주로 813, 3층 (신사동)",6024,케어덴 동물치과&내과병원,2023-06-22 15:45,I,04:00.0,,37.5229931,127.0328786,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3150000,3.15E+17,2015-02-09,,1,영업/정상,0,정상,,,,,02-2662-8111,0,,서울특별시 강서구 마곡동 747 마곡엠밸리10단지 101호,"서울특별시 강서구 마곡중앙1로 72, 101호 (마곡동, 마곡엠밸리10단지)",7629,24시 강서 젠틀리동물의료센터,2023-06-23 9:56,U,05:00.0,,37.5595407,126.8193505,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2023-06-27,,1,영업/정상,0,정상,,,,,02-6953-7599,,,서울특별시 송파구 방이동 180-3 올림픽타워빌,"서울특별시 송파구 백제고분로 506, 2층 (방이동, 올림픽타워빌)",5627,바로슬동물병원,2023-06-27 16:23,I,09:00.0,,37.5151269,127.1155687,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3050000,3.05E+17,2016-05-24,,1,영업/정상,0,정상,,,,,02-2242-0175,0,,서울특별시 동대문구 장안동 483,"서울특별시 동대문구 한천로 164, 1층 (장안동)",2529,스마트동물병원,2023-07-05 14:47,U,07:00.0,,37.5755126,127.0676783,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3080000,3.08E+17,2017-06-05,,1,영업/정상,0,정상,,,,,02-903-7582,217.39,,"서울특별시 강북구 수유동 39-10 1, 2층","서울특별시 강북구 노해로 65, 1, 2층 (수유동, 리안스페이스)",1077,24시 수유 바른펫 동물의료센터,2023-04-05 10:42,U,07:00.0,,37.6414521,127.0222657,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3180000,3.18E+17,2023-06-28,,1,영업/정상,0,정상,,,,,,,,서울특별시 영등포구 신길동 362-22,"서울특별시 영등포구 도신로 86, 1층 (신길동)",7382,신길S동물의료센터,2023-06-28 11:30,I,00:00.0,,37.506696,126.9019332,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3220000,3.22E+17,2015-01-22,,1,영업/정상,0,정상,,,,,02-508-7583,0,,"서울특별시 강남구 역삼동 771 101호,102호","서울특별시 강남구 역삼로 234, 101,102호 (역삼동)",6226,드림동물병원,2023-04-20 11:40,U,03:00.0,,37.4970897,127.0422033,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3040000,3.04E+17,2003-09-26,,1,영업/정상,0,정상,,,,,457-4545,125.4,,서울특별시 광진구 구의동 68-37,서울특별시 광진구 광나루로 507 (구의동),4976,광진동물의료센터,2023-09-27 13:21,U,09:00.0,,37.5452435,127.0859569,,,,,,"매일 09:00 - 21:00 주간 진료, 연중무휴
매일 21:00 - 09:00 야간 진료",,http://kjamc.com/
3020000,3.02E+17,2005-06-24,,1,영업/정상,0,정상,,,,,792-7602,107.5,,서울특별시 용산구 이태원동 21-1 태광빌딩 1층,"서울특별시 용산구 보광로 90, 태광빌딩 1층 (이태원동)",4406,청화종합동물병원,2023-06-28 20:38,U,00:00.0,,37.5311078,126.9958299,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2020-09-15,,1,영업/정상,0,정상,,,,,02-402-3270,0,,서울특별시 송파구 문정동 652-5 문정아이파크,"서울특별시 송파구 법원로4길 6, 문정아이파크 128-9호 (문정동)",5855,동물병원알루,2023-11-14 9:20,U,06:00.0,,37.4905322,127.1266224,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3190000,3.19E+17,2023-10-05,,1,영업/정상,0,정상,,,,,02-6953-0475,106.94,,서울특별시 동작구 흑석동 332 이랜드해가든,"서울특별시 동작구 서달로 150, 2층 222호 (흑석동, 이랜드해가든)",6980,스무해 동물병원,2023-10-06 17:27,I,08:00.0,,37.5066658,126.9621884,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3060000,3.06E+17,2024-01-02,,1,영업/정상,0,정상,,,,,02-433-0787,42.9,,서울특별시 중랑구 상봉동 137-16,"서울특별시 중랑구 중랑천로 81, 101호 (상봉동)",2118,중랑차동물병원,2024-01-02 10:23,I,04:00.0,,37.5924376,127.0726366,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3110000,3.11E+17,2023-10-06,,1,영업/정상,0,정상,,,,,02-356-7547,101.83,,서울특별시 은평구 역촌동 22-48,"서울특별시 은평구 연서로 72, 삼성프라임 101,102호 (역촌동)",3402,진솔동물병원,2023-10-13 17:11,U,05:00.0,,37.6055793,126.9158431,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2023-10-16,,1,영업/정상,0,정상,,,,,,0,,서울특별시 송파구 잠실동 175-6 J타워,"서울특별시 송파구 올림픽로 76, J타워 5층 501호 (잠실동)",5556,ONAMC,2023-10-16 17:02,I,08:00.0,,37.5115663,127.0790214,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3190000,3.19E+17,20080115,,1,영업/정상,0,정상,,,,,02-813-7579,132.66,,서울특별시 동작구 대방동 395-4,"서울특별시 동작구 상도로 43, 1층 (대방동, 정원빌딩)",6954,피닉스동물병원,2023-01-12 22:15,U,04:00.0,,37.5000152,126.9254647,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3180000,3.18E+17,2023-10-31,,1,영업/정상,0,정상,,,,,02-784-7588,,,서울특별시 영등포구 여의도동 41-1 대교B상가 202호,"서울특별시 영등포구 국제금융로7길 22, 대교B상가 2층 202호 (여의도동)",7340,헬로우동물병원 여의도점,2023-10-31 15:45,I,02:00.0,,37.5232129,126.933086,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3060000,3.06E+17,2023-11-06,,1,영업/정상,0,정상,,,,,02-439-8300,60,,서울특별시 중랑구 면목동 497-7,"서울특별시 중랑구 면목로 341, 1층 (면목동)",2228,혜원동물병원,2023-11-06 10:56,I,08:00.0,,37.5823489,127.0882923,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2023-10-24,,1,영업/정상,0,정상,,,,,02-6479-7582,,,서울특별시 송파구 석촌동 251-4 푸른바둑교실,"서울특별시 송파구 가락로 69, 푸른바둑교실 1층 (석촌동)",5690,동물병원 유피,2023-12-01 16:15,U,03:00.0,,37.5001445,127.1038197,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2023-12-04,,1,영업/정상,0,정상,,,,,,,,서울특별시 송파구 삼전동 22-2 잠실레이크타워,"서울특별시 송파구 석촌호수로 140, 잠실레이크타워 202, 203호 (삼전동)",5600,스무살의꿈 동물병원,2023-12-04 17:34,I,06:00.0,,37.5070755,127.0924728,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3110000,3.11E+17,2021-04-29,,1,영업/정상,0,정상,,,,,269527519,0,,서울특별시 은평구 역촌동 7-15 대광빌딩,"서울특별시 은평구 연서로 122, 대광빌딩 1,2층 (역촌동)",3399,24시예담동물의료센터,2024-05-17 11:41,U,09:00.0,,37.6095895,126.9168125,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3210000,3.21E+17,2023-11-15,,1,영업/정상,0,정상,,,,,02-6978-9296,0,,서울특별시 서초구 원지동 379,"서울특별시 서초구 원터2길 4, 2층 (원지동)",6806,나비셀 동물의료센터,2024-01-19 13:34,U,01:00.0,,37.4442443,127.0564277,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3170000,3.17E+17,2013-11-27,,1,영업/정상,0,정상,,,,,853-7582,378,,서울특별시 금천구 독산동 950-3,서울특별시 금천구 남부순환로 1386 (독산동),8547,우리동물메디컬센터,2024-05-07 17:08,U,09:00.0,,37.47973,126.9047274,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3090000,3.09E+17,2024-01-24,,1,영업/정상,0,정상,,,,,070-7733-8505,152.76,,서울특별시 도봉구 창동 1-28 씨드큐브 창동,"서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 B103-1호 (창동)",1413,동물진료법인 포레스트,2024-05-02 11:04,U,04:00.0,,37.6543906,127.0498832,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2009-12-02,,1,영업/정상,0,정상,,,,,02-443-2222,0,,서울특별시 송파구 가락동 137-3 현대빌리지,"서울특별시 송파구 동남로 161, 1,2층 (가락동, 현대빌리지)",5826,에코동물병원,2024-03-18 10:31,U,00:00.0,,37.4928086,127.1281483,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
3230000,3.23E+17,2013-05-15,,1,영업/정상,0,정상,,,,,02-418-0724,0,,서울특별시 송파구 잠실동 175-6 J타워 202호,"서울특별시 송파구 올림픽로 76, J타워 202호 (잠실동)",5556,24시잠실ON동물의료센터,2023-11-01 9:59,U,03:00.0,,37.5095343,127.0819849,,,,,,"월
10:00 - 18:30
화
10:00 - 18:30
수
10:00 - 18:30
목
10:00 - 18:30
금
10:00 - 18:30
토
10:00 - 17:00
일
정기휴무 (매주 일요일)",,
